Gene	Gene.synonym	Ensembl	Gene.description	Uniprot	Protein.class	Evidence	HPA.evidence	UniProt.evidence
LCN10		ENSG00000187922	Lipocalin 10	Q6JVE6	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LCN12	MGC48935	ENSG00000184925	Lipocalin 12	Q6JVE5	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LCN15	PRO6093, UNQ2541	ENSG00000177984	Lipocalin 15	Q6UWW0	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LCN2	24p3, NGAL	ENSG00000148346	Lipocalin 2	P80188	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LCN6		ENSG00000267206	Lipocalin 6	P62502	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LCN8	LCN5	ENSG00000204001	Lipocalin 8	Q6JVE9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LCN9		ENSG00000148386	Lipocalin 9	Q8WX39	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
LDLRAD2		ENSG00000187942	Low density lipoprotein receptor class A domain containing 2	Q5SZI1	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LEAP2	LEAP-2	ENSG00000164406	Liver enriched antimicrobial peptide 2	Q969E1	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LECT2	chm-II, chm2	ENSG00000145826	Leukocyte cell derived chemotaxin 2	O14960	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LEFTY1	LEFTB, LEFTYB	ENSG00000243709	Left-right determination factor 1	O75610	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LEFTY2	EBAF, LEFTA, LEFTYA, TGFB4	ENSG00000143768	Left-right determination factor 2	O00292	Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LEP	OB, OBS	ENSG00000174697	Leptin	P41159	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LEPR	CD295, OBR	ENSG00000116678	Leptin receptor	P48357	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LGALS1	GBP	ENSG00000100097	Galectin 1	P09382	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LGALS3BP	90K, BTBD17B, CyCAP, gp90, M2BP, MAC-2-BP, TANGO10B	ENSG00000108679	Galectin 3 binding protein	Q08380	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LGALS9	LGALS9A	ENSG00000168961	Galectin 9	O00182	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LGI1	EPITEMPIN, EPT, ETL1, IB1099	ENSG00000108231	Leucine rich glioma inactivated 1	O95970	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LGI2	FLJ10675, KIAA1916	ENSG00000153012	Leucine rich repeat LGI family member 2	Q8N0V4	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LGI3		ENSG00000168481	Leucine rich repeat LGI family member 3	Q8N145	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level
LGI4		ENSG00000153902	Leucine rich repeat LGI family member 4	Q8N135	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LHB	CGB4, hLHB, LSH-B	ENSG00000104826	Luteinizing hormone beta polypeptide	P01229	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LIF	CDF, DIA, HILDA	ENSG00000128342	LIF, interleukin 6 family cytokine	P15018	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LILRA2	CD85h, ILT1, LIR-7, LIR7	ENSG00000239998	Leukocyte immunoglobulin like receptor A2	Q8N149	CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LILRA5	CD85, CD85f, ILT11, LILRB7, LIR9	ENSG00000187116	Leukocyte immunoglobulin like receptor A5	A6NI73	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LIPC	HL, HTGL	ENSG00000166035	Lipase C, hepatic type	P11150	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LIPF	HGL, HLAL	ENSG00000182333	Lipase F, gastric type	P07098	Enzymes, FDA approved drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LIPG	EDL	ENSG00000101670	Lipase G, endothelial type	Q9Y5X9	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LIPH	LPDLR, mPA-PLA1, mPA-PLA1alpha, PLA1B	ENSG00000163898	Lipase H	Q8WWY8	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LIPI	CT17, LPDL, mPA-PLA1beta, PLA1C, PRED5	ENSG00000188992	Lipase I	Q6XZB0	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LIPK	bA186O14.2, LIPL2	ENSG00000204021	Lipase family member K	Q5VXJ0	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LIPM	bA304I5.1, LIPL3	ENSG00000173239	Lipase family member M	Q5VYY2	Predicted intracellular proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LIPN	bA186O14.3, LIPL4	ENSG00000204020	Lipase family member N	Q5VXI9	Disease related genes, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LOX		ENSG00000113083	Lysyl oxidase	P28300	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LOXL1	LOL, LOXL	ENSG00000129038	Lysyl oxidase like 1	Q08397	Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LOXL2	LOR, WS9-14	ENSG00000134013	Lysyl oxidase like 2	Q9Y4K0	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LOXL3		ENSG00000115318	Lysyl oxidase like 3	P58215	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LOXL4	FLJ21889, LOXC	ENSG00000138131	Lysyl oxidase like 4	Q96JB6	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LPA	LP, Lp(a)	ENSG00000198670	Lipoprotein(a)	P08519	Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LPL	LIPD	ENSG00000175445	Lipoprotein lipase	P06858	Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LPO	SPO	ENSG00000167419	Lactoperoxidase	P22079	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LRCH3	MGC4126	ENSG00000186001	Leucine rich repeats and calponin homology domain containing 3	Q96II8	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LRCOL1		ENSG00000204583	Leucine rich colipase like 1	A6NCL2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LRG1	LRG	ENSG00000171236	Leucine rich alpha-2-glycoprotein 1	P02750	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LRP8	APOER2, HSZ75190, LRP-8, MCI1	ENSG00000157193	LDL receptor related protein 8	Q14114	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LRRC17	H_RG318M05.3, P37NB	ENSG00000128606	Leucine rich repeat containing 17	Q8N6Y2	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LTA	LT, TNFB, TNFSF1	ENSG00000226979	Lymphotoxin alpha	P01374	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LTBP1		ENSG00000049323	Latent transforming growth factor beta binding protein 1	Q14766	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LTBP2	C14orf141, LTBP3	ENSG00000119681	Latent transforming growth factor beta binding protein 2	Q14767	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LTBP3	LTBP2	ENSG00000168056	Latent transforming growth factor beta binding protein 3	Q9NS15	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LTBP4	FLJ46318, FLJ90018, LTBP-4, LTBP-4L	ENSG00000090006	Latent transforming growth factor beta binding protein 4	Q8N2S1	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LTF	HLF2	ENSG00000012223	Lactotransferrin	P02788	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LUM	LDC, SLRR2D	ENSG00000139329	Lumican	P51884	Cancer-related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LY6G5B	C6orf19, G5b	ENSG00000240053	Lymphocyte antigen 6 family member G5B	Q8NDX9	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LY6G5C	C6orf20, G5c, NG33	ENSG00000204428	Lymphocyte antigen 6 family member G5C	Q5SRR4	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LY86	dJ80N2.1, MD-1	ENSG00000112799	Lymphocyte antigen 86	O95711	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LY96	MD-2	ENSG00000154589	Lymphocyte antigen 96	Q9Y6Y9	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LYG1	SALW1939	ENSG00000144214	Lysozyme g1	Q8N1E2	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LYG2	LYGH	ENSG00000185674	Lysozyme g2	Q86SG7	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LYPD6	MGC52057	ENSG00000187123	LY6/PLAUR domain containing 6	Q86Y78	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LYPD8		ENSG00000259823	LY6/PLAUR domain containing 8	Q6UX82	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
LYZ		ENSG00000090382	Lysozyme	P61626	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
LYZL1	LYC2, MGC33408	ENSG00000120563	Lysozyme like 1	Q6UWQ5	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level
LYZL2		ENSG00000151033	Lysozyme like 2	Q7Z4W2	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LYZL4	LYC4, MGC26768	ENSG00000157093	Lysozyme like 4	Q96KX0	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level
LYZL6	LYC1, PRO1485, TKAL754	ENSG00000275722	Lysozyme like 6	O75951	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level
MAN2B2	KIAA0935	ENSG00000013288	Mannosidase alpha class 2B member 2	Q9Y2E5	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level
